grid_id	x	y	agb_ton_ha
104	580906.3344	1475662.06	14.92
105	581213.974	1475660.658	9.6
106	581521.613899999	1475659.25799999	8.57
107	581829.2539	1475657.86299999	10.92
108	582136.894199999	1475656.46999999	15.73
116	575677.980699999	1475992.12899999	12.7899999999999
117	575985.613	1475990.66599999	15.82
118	576293.2454	1475989.20699999	13.46
119	576600.878099999	1475987.752	11.64
120	576908.511	1475986.3	8.88
121	577216.144199999	1475984.85199999	16.77
122	577523.777499999	1475983.40699999	14.06
123	577831.411199999	1475981.966	12.6199999999999
124	578139.045	1475980.52799999	9.39
125	578446.679	1475979.094	10.97
126	578754.3133	1475977.664	11.4499999999999
127	579061.947799999	1475976.23699999	11.32
128	579369.5825	1475974.813	11.06
129	579677.217399999	1475973.39299999	12.8599999999999
130	579984.852599999	1475971.976	18.67
131	580292.488	1475970.563	16.25
132	580600.1236	1475969.154	9.91
133	580907.7595	1475967.74799999	11.41
134	581215.3956	1475966.34499999	11.27
135	581523.032	1475964.94599999	8.69999999999999
136	581830.668599999	1475963.55099999	12.23
137	582138.3053	1475962.15899999	9.67
138	582445.9424	1475960.77	9.44
146	573218.4429	1476309.63199999	14.06
147	573526.0699	1476308.14199999	9.60999999999999
148	573833.6972	1476306.655	10.89
149	574141.3246	1476305.172	16.94
150	574448.9523	1476303.692	13.75
151	574756.580199999	1476302.216	10.83
152	575064.208199999	1476300.74399999	13.32
153	575371.836499999	1476299.27399999	14.81
154	575679.4651	1476297.80899999	13.19
155	575987.0938	1476296.347	14.58
156	576294.722799999	1476294.888	13.13
157	576602.351999999	1476293.43299999	17.89
158	576909.9814	1476291.98099999	12.7899999999999
159	577217.611	1476290.533	19.6999999999999
160	577525.240899999	1476289.08899999	13.6
161	577832.871	1476287.648	10.23
162	578140.5013	1476286.20999999	6.61
163	578448.1319	1476284.777	9.41
164	578755.7626	1476283.34599999	11.6199999999999
165	579063.393599999	1476281.91899999	11.38
166	579371.0248	1476280.496	12.58
167	579678.6563	1476279.07599999	10.4499999999999
168	579986.287899999	1476277.65999999	17.02
169	580293.919899999	1476276.24699999	25.4899999999999
170	580601.552	1476274.837	20.2899999999999
171	580909.1844	1476273.432	13.35
172	581216.817	1476272.029	14.17
173	581524.4499	1476270.631	10.8599999999999
174	581832.0829	1476269.236	13.43
175	582139.7162	1476267.844	8.59
176	582447.349799999	1476266.456	15.43
183	569836.110499999	1476631.92999999	11.49
184	570143.7317	1476630.402	10.02
185	570451.353099999	1476628.87599999	10.73
186	570758.9747	1476627.35499999	19.55
187	571066.596499999	1476625.83599999	12.81
188	571374.218499999	1476624.32199999	13.5
189	571681.8408	1476622.81099999	12.99
190	571989.463199999	1476621.303	13.24
191	572297.0858	1476619.799	15.2899999999999
192	572604.708699999	1476618.29799999	18.5599999999999
193	572912.331699999	1476616.80099999	14.14
194	573219.954999999	1476615.307	14.14
195	573527.578499999	1476613.817	8.08
196	573835.2023	1476612.331	12.71
197	574142.826299999	1476610.84799999	16.1299999999999
198	574450.450399999	1476609.368	10.35
199	574758.074799999	1476607.89199999	9.94
200	575065.6994	1476606.41999999	12.55
201	575373.3242	1476604.95099999	15.05
202	575680.9492	1476603.486	15.81
203	575988.5744	1476602.02399999	21.1999999999999
204	576296.1999	1476600.56499999	19.1299999999999
205	576603.825599999	1476599.11	12.52
206	576911.451499999	1476597.65899999	11.99
207	577219.0777	1476596.21099999	9.31
208	577526.704099999	1476594.76699999	10.39
209	577834.330599999	1476593.32599999	7.74
210	578141.9575	1476591.88899999	6.19
211	578449.584499999	1476590.455	13.5299999999999
212	578757.211699999	1476589.02499999	12.06
213	579064.8392	1476587.59799999	12.3699999999999
214	579372.466899999	1476586.175	16.6099999999999
215	579680.0949	1476584.756	13.15
216	579987.723099999	1476583.34	15.21
217	580295.351499999	1476581.92699999	17.35
218	580602.980199999	1476580.51799999	17.87
219	580910.6091	1476579.11199999	18.2199999999999
220	581218.2382	1476577.70999999	9.88
221	581525.8675	1476576.31199999	12.02
222	581833.4971	1476574.91699999	14.9
223	582141.1269	1476573.52499999	8.41
224	582448.7569	1476572.137	12.43
229	568299.5757	1476945.29499999	14.3699999999999
230	568607.192299999	1476943.749	14.74
231	568914.809099999	1476942.20699999	11.0
232	569222.426199999	1476940.66699999	12.34
233	569530.043399999	1476939.13199999	16.1299999999999
234	569837.6609	1476937.6	10.21
235	570145.278599999	1476936.07099999	12.3699999999999
236	570452.8965	1476934.546	10.6
237	570760.514599999	1476933.02499999	13.6199999999999
238	571068.132899999	1476931.50699999	8.10999999999999
239	571375.751399999	1476929.992	10.15
240	571683.370099999	1476928.48099999	10.98
241	571990.9891	1476926.97399999	12.35
242	572298.6082	1476925.46999999	13.7899999999999
243	572606.227599999	1476923.969	18.4899999999999
244	572913.8471	1476922.472	11.44
245	573221.466899999	1476920.979	11.44
246	573529.087	1476919.489	13.68
